time |	latitude |	longitude |	depth |	mag |	magType
1981-02-28T21:56:13.560Z	-6.41	-81.416	33	6	ms
1981-03-02T12:13:45.340Z	22.894	121.453	23.5	5.9	ms
1981-03-04T21:58:05.940Z	38.209	23.288	28.5	6.4	ms
1981-03-06T19:42:59.500Z	3.893	-85.915	33	6.4	ms
1981-03-21T12:27:38.130Z	-47.993	99.606	10	5.8	ms
1981-03-21T22:52:39.360Z	-5.45	146.715	226.7	6	mb
1981-03-23T19:28:10.780Z	-33.661	-71.892	46.3	6.2	ms
1981-03-26T18:04:44.780Z	-19.37	-68.957	138	5.8	mb
1981-03-26T21:30:04.700Z	3.412	127.998	60.5	6.1	mb
1981-03-30T17:04:42.150Z	-2.277	138.849	33	5.9	ms
1981-04-01T18:03:36.550Z	-27.31	-63.32	554	5.9	mb
1981-04-05T03:17:53.810Z	-6.134	154.508	413.4	5.8	mb
1981-04-08T23:42:47.920Z	45.667	152.32	33	5.9	mb
1981-04-09T08:37:09.680Z	-59.779	150.235	10	6.2	ms
1981-04-10T00:23:33.780Z	-4.037	147.484	25	5.8	ms
1981-04-16T10:58:30.350Z	-55.989	-27.442	86	5.8	mb
1981-04-22T01:17:11.400Z	49.901	78.901	0	5.9	mb
1981-04-24T21:50:06.090Z	-13.426	166.421	33	6.9	ms
1981-04-25T05:30:14.000Z	-22.25	179.41	588	6.1	mwc
1981-04-25T05:30:14.880Z	-13.53	166.674	33	5.9	ms
1981-04-27T18:17:33.780Z	-57.591	148.079	10	6.5	ms
1981-04-28T21:14:48.240Z	-23.721	179.981	540	6	mb
1981-04-30T14:41:41.260Z	43.233	150.222	49	6.1	ms
1981-05-02T16:04:55.600Z	36.355	71.085	228.7	6.3	mb
1981-05-06T21:36:06.810Z	-1.886	-80.885	33	6.4	ms
1981-05-08T23:34:44.980Z	42.66	139.129	200.4	6	mb
1981-05-09T16:06:25.540Z	-5.16	154.7	73	5.9	mb
1981-05-13T01:39:54.820Z	5.829	127.008	145	6	mb
1981-05-22T02:55:22.290Z	-6.562	132.255	73	5.8	mb
1981-05-25T05:25:14.460Z	-48.786	164.357	33	7.6	ms
1981-05-28T16:10:07.330Z	-14.692	167.28	125	5.9	mb
1981-05-28T22:18:55.430Z	-5.682	151.409	70.5	6	mb
1981-06-01T14:07:01.300Z	-16.126	-173.559	33	6	ms
1981-06-01T15:12:46.760Z	18.734	-107.026	33	6	ms
1981-06-03T05:47:44.440Z	-35.56	-17.04	10	6.4	ms
1981-06-05T19:41:50.600Z	44.701	148.899	33	5.9	mb
1981-06-09T22:08:18.500Z	34.501	91.444	10	6	ms
1981-06-11T07:24:25.230Z	29.913	57.715	33	6.7	ms
1981-06-13T01:26:03.190Z	-60.171	154.712	10	6	ms
1981-06-20T12:31:48.010Z	-21.379	169.451	33	5.8	ms
1981-06-25T19:51:21.460Z	-41.697	79.929	10	6	ms
1981-07-06T03:08:24.180Z	-22.293	171.742	33	7	ms
1981-07-07T21:10:57.780Z	-0.166	-18.837	10	6.4	ms
1981-07-14T17:18:46.920Z	-36.818	78.491	10	6.1	ms
1981-07-15T07:59:08.470Z	-17.26	167.601	30	7	ms
1981-07-21T11:47:00.920Z	-15.436	167.473	143.1	5.8	mb
1981-07-28T17:22:24.620Z	30.013	57.794	33	7.1	ms
1981-07-29T01:11:12.730Z	-21.617	169.627	39.5	6.2	ms
