time |	latitude |	longitude |	depth |	mag |	magType
1991-01-15T13:43:47.580Z	-5.99	154.46	58.2	6	mw
1991-01-18T10:45:18.470Z	-51.145	139.415	10	6.3	mw
1991-01-20T11:32:52.160Z	-21.235	170.029	78.3	6	mw
1991-01-23T01:12:29.750Z	51.965	178.838	108.4	6.4	mw
1991-01-25T17:38:36.510Z	-2.152	139.02	22	6.3	mw
1991-01-25T17:40:16.450Z	-2.275	139.206	33	6.4	mb
1991-01-31T23:03:33.670Z	35.993	70.423	142.4	6.9	mw
1991-02-09T02:08:50.900Z	-15.348	-176.901	27.6	6.1	mw
1991-02-09T16:18:58.370Z	-9.929	159.139	10	6.9	mw
1991-02-09T16:30:32.530Z	-9.858	159.174	10	6.4	ms
1991-02-10T12:42:37.600Z	8.745	-39.854	10	6.2	mw
1991-02-10T14:15:19.850Z	14.005	144.743	155.7	6	mw
1991-02-14T23:31:23.000Z	-22.336	-112.578	10	6	mw
1991-02-16T01:23:40.440Z	48.268	154.328	38.9	6.1	mw
1991-02-17T06:59:12.640Z	-21.189	169.831	58.5	6	mw
1991-02-18T02:37:25.120Z	8.87	126.48	23.9	7	mw
1991-02-21T02:35:34.050Z	58.427	-175.45	20.2	6.7	mw
1991-02-25T14:30:27.620Z	40.386	78.959	20.6	6	mw
1991-03-01T17:30:26.050Z	10.939	-84.637	196.5	6.2	mw
1991-03-03T15:20:24.730Z	-21.867	-175.057	16.1	6.2	mw
1991-03-08T11:36:28.430Z	60.904	167.023	13	6.6	mw
1991-03-09T01:01:23.100Z	-54.877	-131.533	10	6	mw
1991-03-11T21:15:56.420Z	-51.154	29.255	10	6.4	mw
1991-03-16T06:02:10.930Z	10.174	-85.184	33.3	6.3	mw
1991-03-20T13:08:57.890Z	-5.791	-80.897	35.1	6	mw
1991-03-21T05:53:12.060Z	-9.71	-79.774	24.7	6.2	mw
1991-03-26T03:58:23.260Z	21.704	121.789	17.7	6.3	mw
1991-04-01T03:53:04.660Z	15.746	95.738	15	6	mw
1991-04-04T03:22:57.910Z	7.017	-78.153	32.9	6.3	mw
1991-04-04T15:23:20.700Z	-6.038	-77.13	20.7	6.5	mw
1991-04-05T04:19:49.520Z	-5.982	-77.094	19.8	7.1	mw
1991-04-05T15:50:47.320Z	-14.23	-75.511	50	6.3	mw
1991-04-06T14:34:20.700Z	-15.008	-175.521	16	6.7	mw
1991-04-14T08:08:55.700Z	27.155	127.419	83	6	mw
1991-04-18T09:41:20.100Z	-22.924	-179.342	470.7	6	mw
1991-04-19T11:25:34.550Z	-14.883	-174.953	19.5	6.1	mw
1991-04-22T21:56:51.820Z	9.685	-83.073	10	7.6	mw
1991-04-24T04:57:14.890Z	9.041	126.739	13.8	6.3	mw
1991-04-24T05:13:09.830Z	2.541	-79.747	23.7	6.2	ms
1991-04-24T19:13:02.110Z	9.741	-83.517	12.7	6.2	mw
1991-04-29T09:12:48.100Z	42.453	43.673	17.2	7	mw
1991-04-29T18:30:41.520Z	42.503	43.899	14.3	6.1	mw
1991-04-30T02:16:33.050Z	5.926	-82.612	10	6	mw
1991-05-01T07:18:43.910Z	62.476	-151.413	114.2	6.3	mw
1991-05-02T07:01:57.240Z	9.392	-77.281	36.1	6	mw
